538,105363298,270,26442231
Michigan,MI,18,2116251
Mississippi,MS,7,497093
Missouri,MO,11,1179947
Nebraska,NE,5,348567
Nevada,NV,4,302828
New Hampshire,NH,4,283898
New Jersey,NJ,15,1593614
New Mexico,NM,5,299303
New York,NY,33,3411000
North Carolina,NC,14,1457496
Ohio,OH,21,2351000
Oklahoma,OK,8,617115
Oregon,OR,7,765275
Pennsylvania,PA,23,2456093
Rhode Island,RI,4,204557
South Carolina,SC,8,691952
South Dakota,SD,3,158135
Tennessee,TN,11,1037877
Texas,TX,32,3203819
Utah,UT,5,383349
Vermont,VT,3,146898
Virginia,VA,13,1368321
Washington,WA,11,1243717
West Virginia,WV,5,324126
