531,15048834,266,2502838
Alabama,AL,12,58980
Arizona,AZ,3,11862
Arkansas,AR,9,62553
Delaware,DE,3,24348
Florida,FL,6,25419
Georgia,GA,14,60736
Idaho,ID,4,52878
Louisiana,LA,10,39625
Maine,ME,6,64821
Maryland,MD,8,115991
Massachusetts,MA,18,244029
Minnesota,MN,12,167110
Mississippi,MS,10,32242
Montana,MT,4,39914
Nebraska,NE,8,124742
Nevada,NV,3,10058
New Hampshire,NH,4,43981
New Jersey,NJ,14,216370
New Mexico,NM,3,24689
North Carolina,NC,12,121889
North Dakota,ND,5,43291
Oklahoma,OK,10,126901
Oregon,OR,5,68521
Rhode Island,RI,5,38948
South Carolina,SC,9,25203
South Dakota,SD,5,58163
Tennessee,TN,12,125967
Texas,TX,20,152561
Vermont,VT,4,31421
Virginia,VA,12,68488
Wisconsin,WI,13,199988
Wyoming,WY,3,21149
