531,39724898,266,6619101
Alabama,AL,11,122678
Arizona,AZ,3,59126
Arkansas,AR,9,110282
Colorado,CO,6,228849
Connecticut,CT,8,297092
Delaware,DE,3,56451
Florida,FL,7,138127
Georgia,GA,12,127796
Idaho,ID,4,93313
Kansas,KS,9,395990
Louisiana,LA,10,134403
Maine,ME,5,149223
Maryland,MD,8,255528
Mississippi,MS,9,73018
Montana,MT,4,108240
Nevada,NV,3,20716
New Hampshire,NH,4,102761
New Mexico,NM,3,75804
North Carolina,NC,13,355751
North Dakota,ND,4,128146
Oklahoma,OK,11,352317
Oregon,OR,5,184405
Pennsylvania,PA,36,1429589
Rhode Island,RI,4,133086
South Carolina,SC,8,52204
South Dakota,SD,4,144220
Tennessee,TN,11,195129
Texas,TX,23,418214
Utah,UT,4,103290
Vermont,VT,3,68491
Virginia,VA,11,148972
Washington,WA,8,307408
Wyoming,WY,3,48482
